City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
296,Venustiano Carranza,MX,19.43,-99.0992,68.0,52,75,9.22,broken clouds
297,Honiara,SB,-9.4333,159.95,84.72,77,84,4.45,broken clouds
298,Dali,CN,25.7,100.1833,78.31,19,0,6.24,clear sky
299,Ust-Tsilma,RU,65.441,52.1498,39.87,94,100,5.03,overcast clouds
300,Qaqortoq,GL,60.7167,-46.0333,50.0,32,90,29.93,light rain
301,Christchurch,NZ,-43.5333,172.6333,62.01,36,13,10.36,few clouds
302,Hamilton,US,39.1834,-84.5333,46.4,61,1,3.6,clear sky
303,Inhambane,MZ,-23.865,35.3833,67.77,92,0,4.05,clear sky
304,Tasiilaq,GL,65.6145,-37.6368,37.4,70,75,17.27,broken clouds
305,Cockburn Town,TC,21.4612,-71.1419,78.17,77,39,17.54,scattered clouds
306,Uyuni,BO,-20.4597,-66.825,37.76,26,0,9.28,clear sky
307,Ulenje,TZ,-8.9333,33.6833,53.87,95,37,3.04,scattered clouds
308,Merauke,ID,-8.4667,140.3333,82.96,73,99,4.05,overcast clouds
309,Cabo San Lucas,MX,22.8909,-109.9124,73.0,36,100,1.01,overcast clouds
310,Guerrero Negro,MX,27.9769,-114.0611,59.02,82,100,11.65,overcast clouds
311,Harboore,DK,56.6175,8.1807,36.0,19,23,5.32,few clouds
312,Bonthe,SL,7.5264,-12.505,80.51,83,98,7.14,overcast clouds
313,Fort Abbas,PK,29.1925,72.8536,94.5,8,0,8.01,clear sky
314,Kaoma,ZM,-14.7833,24.8,57.67,96,14,5.26,few clouds
315,Turukhansk,RU,65.8167,87.9833,23.09,70,32,3.38,scattered clouds
316,Assomada,CV,15.1,-23.6833,68.0,77,40,9.22,scattered clouds
317,Northam,GB,51.0333,-4.2167,42.01,83,32,13.0,scattered clouds
318,Sungaipenuh,ID,-2.0833,101.3833,79.21,62,94,1.52,overcast clouds
319,Isangel,VU,-19.55,169.2667,82.4,74,75,11.5,broken clouds
320,Khorixas,NA,-20.3667,14.9667,63.37,59,3,0.65,clear sky
321,Prince Rupert,CA,54.3161,-130.3201,51.8,54,1,6.91,clear sky
322,Bonavista,CA,48.6499,-53.1147,37.99,75,13,5.75,few clouds
323,Los Llanos De Aridane,ES,28.6585,-17.9182,66.2,72,90,9.33,overcast clouds
324,Gurlan,UZ,41.8447,60.3919,69.8,26,0,13.8,clear sky
325,High Rock,BS,26.6208,-78.2833,80.6,83,20,5.75,few clouds
326,Andenes,NO,69.3143,16.1194,35.6,64,90,12.66,light intensity drizzle
327,Abu Zabad,SD,12.35,29.25,78.73,62,100,8.21,overcast clouds
328,Nanortalik,GL,60.1432,-45.2371,37.27,93,100,4.56,moderate rain
329,Aasiaat,GL,68.7098,-52.8699,28.6,90,82,7.27,broken clouds
330,Vostok,RU,46.4856,135.8833,48.56,26,9,8.79,clear sky
331,Vadso,NO,70.0744,29.7487,28.4,74,75,10.36,broken clouds
332,Bengkulu,ID,-3.8004,102.2655,85.05,67,37,6.8,scattered clouds
333,Bonaventure,CA,48.0457,-65.4926,41.0,75,100,5.75,light rain
334,Phangnga,TH,8.4509,98.5298,91.99,79,20,9.22,few clouds
335,Vawkavysk,BY,53.1561,24.4513,28.4,80,0,8.95,clear sky
336,Beringovskiy,RU,63.05,179.3167,31.87,90,47,1.88,scattered clouds
337,Port Hardy,CA,50.6996,-127.4199,48.2,100,75,3.44,broken clouds
338,Maragogi,BR,-9.0122,-35.2225,77.59,83,44,7.07,scattered clouds
339,Narsaq,GL,60.9167,-46.05,50.0,32,90,29.93,light rain
340,Macusani,PE,-14.0833,-70.4333,34.16,88,61,4.63,broken clouds
341,Beloha,MG,-25.1667,45.05,70.66,74,0,5.61,clear sky
342,Mount Isa,AU,-20.7333,139.5,89.6,31,40,9.22,scattered clouds
343,Tumbagaan,PH,5.3656,120.3139,83.1,71,14,4.54,few clouds
344,Sault Sainte Marie,CA,46.5168,-84.3333,30.2,69,1,3.49,clear sky
