City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
224,Harper,LR,2021-04-26 00:13:31,4.375,-7.7169,77.29,85,100,2.75
225,Torbay,CA,2021-04-26 00:09:30,47.6666,-52.7314,44.6,57,20,9.22
226,Sakaiminato,JP,2021-04-26 00:13:32,35.55,133.2333,57.2,51,75,13.8
227,Troitsko-Pechorsk,RU,2021-04-26 00:13:32,62.7084,56.1964,38.55,96,98,7.52
228,Nelidovo,RU,2021-04-26 00:13:33,56.2211,32.7774,28.42,97,14,6.58
229,Bethel,US,2021-04-26 00:11:54,41.3712,-73.414,57.2,58,20,4.61
230,Bredasdorp,ZA,2021-04-26 00:13:34,-34.5322,20.0403,51.8,93,100,1.14
231,Sechura,PE,2021-04-26 00:13:35,-5.5569,-80.8222,73.17,67,48,17.83
232,Upernavik,GL,2021-04-26 00:12:21,72.7868,-56.1549,33.64,76,50,4.97
233,Portland,US,2021-04-26 00:11:14,45.5234,-122.6762,59.0,51,90,11.5
234,Cuzaplac,RO,2021-04-26 00:13:37,46.9667,23.2,46.4,87,75,10.36
235,Kayes,ML,2021-04-26 00:13:38,14.0,-11.0,95.02,14,0,8.81
236,Waingapu,ID,2021-04-26 00:13:38,-9.6567,120.2641,80.04,71,46,10.74
237,Gornyy,RU,2021-04-26 00:13:38,55.1153,83.9059,34.0,66,100,4.81
238,Mago,RU,2021-04-26 00:13:39,53.2514,140.1822,33.82,70,17,3.67
239,Adrar,MR,2021-04-26 00:13:39,20.5022,-10.0711,81.18,22,34,10.83
240,Husavik,IS,2021-04-26 00:12:20,66.0449,-17.3389,37.4,87,90,10.36
241,San Patricio,US,2021-04-26 00:13:40,28.017,-97.5169,78.01,78,75,17.27
242,Pinerolo,IT,2021-04-26 00:13:40,44.8833,7.35,57.99,69,99,1.99
243,Longavi,CL,2021-04-26 00:13:41,-35.9667,-71.6833,57.42,54,0,5.46
244,Port Macquarie,AU,2021-04-26 00:12:49,-31.4333,152.9167,70.0,66,6,1.01
245,Saint-Georges,GD,2021-04-26 00:13:41,12.0564,-61.7485,80.6,78,20,26.46
246,Waipawa,NZ,2021-04-26 00:13:42,-41.4122,175.5153,60.8,55,40,12.66
247,Khatanga,RU,2021-04-26 00:12:20,71.9667,102.5,7.99,94,60,11.18
248,Salalah,OM,2021-04-26 00:13:43,17.0151,54.0924,82.4,74,40,8.05
249,Ballina,AU,2021-04-26 00:13:43,-28.8667,153.5667,66.99,88,90,6.91
250,Saskylakh,RU,2021-04-26 00:12:13,71.9167,114.0833,14.85,93,100,23.04
251,Svetlogorsk,BY,2021-04-26 00:13:44,52.6333,29.7333,31.44,80,47,5.23
252,Severo-Kurilsk,RU,2021-04-26 00:13:44,50.6789,156.125,32.77,98,100,12.06
253,Belyy Yar,RU,2021-04-26 00:13:45,53.6039,91.3903,30.2,80,97,4.47
254,Lao Cai,VN,2021-04-26 00:13:45,22.4833,103.95,78.71,94,99,1.61
255,Ormara,PK,2021-04-26 00:13:46,25.2088,64.6357,80.85,69,23,2.93
256,Richards Bay,ZA,2021-04-26 00:13:46,-28.783,32.0377,64.99,92,3,3.29
257,Muros,ES,2021-04-26 00:13:18,42.7762,-9.0603,57.0,93,56,4.83
258,Cap Malheureux,MU,2021-04-26 00:13:47,-19.9842,57.6142,75.0,86,96,5.01
259,Praia Da Vitoria,PT,2021-04-26 00:13:48,38.7333,-27.0667,60.8,82,75,11.95
260,Saint-Pierre,RE,2021-04-26 00:13:48,-21.3393,55.4781,77.0,73,0,16.11
261,Suluq,LY,2021-04-26 00:13:49,31.6682,20.2521,59.45,88,0,8.86
262,Melita,CA,2021-04-26 00:13:49,49.2681,-100.9967,37.99,78,100,10.0
263,Dudinka,RU,2021-04-26 00:13:50,69.4058,86.1778,5.81,97,100,5.61
264,Zhigansk,RU,2021-04-26 00:13:50,66.7697,123.3711,32.43,99,100,8.93
265,Porto Nacional,BR,2021-04-26 00:13:51,-10.7081,-48.4172,73.4,100,75,3.44
266,Batagay-Alyta,RU,2021-04-26 00:13:51,67.8006,130.4114,24.98,78,100,2.91
267,Wanning,CN,2021-04-26 00:13:32,18.8003,110.3967,80.26,83,100,6.02
268,Atlantic City,US,2021-04-26 00:13:52,39.3643,-74.4229,60.01,62,1,5.75
269,Morant Bay,JM,2021-04-26 00:13:53,17.8815,-76.4093,80.6,74,40,9.22
270,Kurilsk,RU,2021-04-26 00:13:53,45.2333,147.8833,31.21,70,61,15.48
271,Maceio,BR,2021-04-26 00:10:47,-9.6658,-35.7353,75.2,88,0,3.44
272,Tezu,IN,2021-04-26 00:13:54,27.9167,96.1667,76.84,26,42,3.71
273,Puerto Del Rosario,ES,2021-04-26 00:13:55,28.5004,-13.8627,68.0,73,20,4.61
274,Basar,IN,2021-04-26 00:13:55,27.9833,94.6667,71.6,78,20,3.44
275,Port Blair,IN,2021-04-26 00:13:32,11.6667,92.75,81.37,77,95,5.53
276,Mombetsu,JP,2021-04-26 00:09:49,44.3525,143.3525,37.0,68,38,7.0
277,Anastacio,BR,2021-04-26 00:13:56,-20.4836,-55.8069,69.21,95,88,3.51
278,Oil City,US,2021-04-26 00:13:56,41.4339,-79.7064,43.0,65,1,8.05
279,Mossendjo,CG,2021-04-26 00:13:57,-2.9506,12.7261,69.89,98,23,0.38
280,Chapais,CA,2021-04-26 00:13:57,49.7834,-74.8492,32.0,93,90,17.27
281,Yulara,AU,2021-04-26 00:13:58,-25.2406,130.9889,60.8,44,0,11.5
282,Resistencia,AR,2021-04-26 00:13:58,-27.4606,-58.9839,60.01,88,0,4.61
283,San Pedro De Ycuamandiyu,PY,2021-04-26 00:13:59,-24.0917,-57.0764,68.09,72,84,5.57
284,Alyangula,AU,2021-04-26 00:13:59,-13.8483,136.4192,80.6,100,75,12.39
285,Fortuna,US,2021-04-26 00:14:00,40.5982,-124.1573,55.99,66,90,6.91
286,Nizhniy Lomov,RU,2021-04-26 00:14:00,53.5304,43.6766,36.32,80,18,12.33
287,Nizhniy Tsasuchey,RU,2021-04-26 00:13:49,50.5167,115.1333,53.58,47,100,21.0
288,Yar-Sale,RU,2021-04-26 00:10:07,66.8333,70.8333,32.81,97,100,12.5
289,Sikasso,ML,2021-04-26 00:14:01,10.9167,-7.0,86.47,38,86,4.81
290,Sitka,US,2021-04-26 00:14:02,57.0531,-135.33,57.2,41,1,3.44
291,Sao Francisco De Paula,BR,2021-04-26 00:14:02,-29.4481,-50.5836,57.0,92,82,1.99
